movieId,title,genres,times_rated,mean_rating,title_words
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action Sci-Fi Thriller,9,2.5,Lawnmower Man 2: Beyond Cyberspace
68,French Twist (Gazon maudit) (1995),Comedy Romance,5,3.4,French Twist (Gazon maudit)
69,Friday (1995),Comedy,20,3.775,Friday
70,From Dusk Till Dawn (1996),Action Comedy Horror Thriller,55,3.5090909090909093,From Dusk Till Dawn
71,Fair Game (1995),Action,5,1.7,Fair Game
72,Kicking and Screaming (1995),Comedy Drama,7,3.2142857142857144,Kicking and Screaming
73,"Misérables, Les (1995)",Drama War,13,3.4615384615384617,"Misérables, Les"
74,Bed of Roses (1996),Drama Romance,8,4.0,Bed of Roses
75,Big Bully (1996),Comedy Drama,5,2.2,Big Bully
76,Screamers (1995),Action Sci-Fi Thriller,15,3.4,Screamers
77,Nico Icon (1995),Documentary,1,4.0,Nico Icon
78,"Crossing Guard, The (1995)",Action Crime Drama Thriller,3,3.3333333333333335,"Crossing Guard, The"
79,"Juror, The (1996)",Drama Thriller,17,2.764705882352941,"Juror, The"
80,"White Balloon, The (Badkonake sefid) (1995)",Children Drama,2,4.0,"White Balloon, The (Badkonake sefid)"
81,Things to Do in Denver When You're Dead (1995),Crime Drama Romance,14,3.107142857142857,Things to Do in Denver When You're Dead
82,Antonia's Line (Antonia) (1995),Comedy Drama,8,3.875,Antonia's Line (Antonia)
83,Once Upon a Time... When We Were Colored (1995),Drama Romance,1,3.0,Once Upon a Time... When We Were Colored
85,Angels and Insects (1995),Drama Romance,7,3.857142857142857,Angels and Insects
86,White Squall (1996),Action Adventure Drama,15,3.966666666666667,White Squall
87,Dunston Checks In (1996),Children Comedy,7,2.5,Dunston Checks In
88,Black Sheep (1996),Comedy,16,3.15625,Black Sheep
89,Nick of Time (1995),Action Thriller,10,3.25,Nick of Time
92,Mary Reilly (1996),Drama Horror Thriller,8,2.625,Mary Reilly
93,Vampire in Brooklyn (1995),Comedy Horror Romance,9,2.8333333333333335,Vampire in Brooklyn
94,Beautiful Girls (1996),Comedy Drama Romance,10,3.95,Beautiful Girls
95,Broken Arrow (1996),Action Adventure Thriller,84,3.0238095238095237,Broken Arrow
96,In the Bleak Midwinter (1995),Comedy Drama,1,3.5,In the Bleak Midwinter
97,"Hate (Haine, La) (1995)",Crime Drama,10,3.9,"Hate (Haine, La)"
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,2,5.0,Heidi Fleiss: Hollywood Madam
100,City Hall (1996),Drama Thriller,14,2.7857142857142856,City Hall
101,Bottle Rocket (1996),Adventure Comedy Crime Romance,23,3.782608695652174,Bottle Rocket
102,Mr. Wrong (1996),Comedy,5,2.4,Mr. Wrong
103,Unforgettable (1996),Mystery Sci-Fi Thriller,3,3.0,Unforgettable
104,Happy Gilmore (1996),Comedy,99,3.4393939393939394,Happy Gilmore
105,"Bridges of Madison County, The (1995)",Drama Romance,23,3.282608695652174,"Bridges of Madison County, The"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy Drama,1,4.0,Nobody Loves Me (Keiner liebt mich)
107,Muppet Treasure Island (1996),Adventure Children Comedy Musical,26,3.326923076923077,Muppet Treasure Island
108,Catwalk (1996),Documentary,1,4.0,Catwalk
110,Braveheart (1995),Action Drama War,237,4.031645569620253,Braveheart
111,Taxi Driver (1976),Crime Drama Thriller,104,4.105769230769231,Taxi Driver
112,Rumble in the Bronx (Hont faan kui) (1995),Action Adventure Comedy Crime,46,3.5434782608695654,Rumble in the Bronx (Hont faan kui)
113,Before and After (1996),Drama Mystery,3,3.3333333333333335,Before and After
116,Anne Frank Remembered (1995),Documentary,5,3.9,Anne Frank Remembered
117,"Young Poisoner's Handbook, The (1995)",Crime Drama,1,3.0,"Young Poisoner's Handbook, The"
118,If Lucy Fell (1996),Comedy Romance,2,2.5,If Lucy Fell
119,"Steal Big, Steal Little (1995)",Comedy,2,3.0,"Steal Big, Steal Little"
121,"Boys of St. Vincent, The (1992)",Drama,2,4.0,"Boys of St. Vincent, The"
122,Boomerang (1992),Comedy Romance,16,2.65625,Boomerang
123,Chungking Express (Chung Hing sam lam) (1994),Drama Mystery Romance,4,4.375,Chungking Express (Chung Hing sam lam)
125,Flirting With Disaster (1996),Comedy,12,3.5833333333333335,Flirting With Disaster
126,"NeverEnding Story III, The (1994)",Adventure Children Fantasy,7,2.0,"NeverEnding Story III, The"
128,Jupiter's Wife (1994),Documentary,1,3.0,Jupiter's Wife
129,Pie in the Sky (1996),Comedy Romance,1,2.0,Pie in the Sky
132,Jade (1995),Thriller,6,2.8333333333333335,Jade
135,Down Periscope (1996),Comedy,31,2.9516129032258065,Down Periscope
137,Man of the Year (1995),Documentary,1,3.0,Man of the Year
140,Up Close and Personal (1996),Drama Romance,16,3.5,Up Close and Personal
141,"Birdcage, The (1996)",Comedy,86,3.494186046511628,"Birdcage, The"
144,"Brothers McMullen, The (1995)",Comedy,12,3.3333333333333335,"Brothers McMullen, The"
145,Bad Boys (1995),Action Comedy Crime Drama Thriller,51,3.2450980392156863,Bad Boys
146,"Amazing Panda Adventure, The (1995)",Adventure Children,3,3.3333333333333335,"Amazing Panda Adventure, The"
147,"Basketball Diaries, The (1995)",Drama,15,3.466666666666667,"Basketball Diaries, The"
148,"Awfully Big Adventure, An (1995)",Drama,1,5.0,"Awfully Big Adventure, An"
149,Amateur (1994),Crime Drama Thriller,1,2.0,Amateur
150,Apollo 13 (1995),Adventure Drama IMAX,201,3.845771144278607,Apollo 13
151,Rob Roy (1995),Action Drama Romance War,44,3.5454545454545454,Rob Roy
152,"Addiction, The (1995)",Drama Horror,2,1.5,"Addiction, The"
153,Batman Forever (1995),Action Adventure Comedy Crime,137,2.9160583941605838,Batman Forever
154,Beauty of the Day (Belle de jour) (1967),Drama,12,3.875,Beauty of the Day (Belle de jour)
155,Beyond Rangoon (1995),Adventure Drama War,6,2.4166666666666665,Beyond Rangoon
156,Blue in the Face (1995),Comedy Drama,3,3.3333333333333335,Blue in the Face
157,Canadian Bacon (1995),Comedy War,11,2.8636363636363638,Canadian Bacon
158,Casper (1995),Adventure Children,62,2.806451612903226,Casper
159,Clockers (1995),Crime Drama Mystery,14,2.892857142857143,Clockers
160,Congo (1995),Action Adventure Mystery Sci-Fi,57,2.8771929824561404,Congo
161,Crimson Tide (1995),Drama Thriller War,103,3.6359223300970873,Crimson Tide
162,Crumb (1994),Documentary,17,4.205882352941177,Crumb
163,Desperado (1995),Action Romance Western,66,3.5606060606060606,Desperado
164,Devil in a Blue Dress (1995),Crime Film-Noir Mystery Thriller,14,3.3214285714285716,Devil in a Blue Dress
165,Die Hard: With a Vengeance (1995),Action Crime Thriller,144,3.5555555555555554,Die Hard: With a Vengeance
166,"Doom Generation, The (1995)",Comedy Crime Drama,3,2.8333333333333335,"Doom Generation, The"
168,First Knight (1995),Action Drama Romance,54,3.0833333333333335,First Knight
169,Free Willy 2: The Adventure Home (1995),Adventure Children Drama,10,2.4,Free Willy 2: The Adventure Home
170,Hackers (1995),Action Adventure Crime Thriller,35,3.2285714285714286,Hackers
171,Jeffrey (1995),Comedy Drama,6,3.8333333333333335,Jeffrey
172,Johnny Mnemonic (1995),Action Sci-Fi Thriller,53,2.6792452830188678,Johnny Mnemonic
173,Judge Dredd (1995),Action Crime Sci-Fi,62,2.6693548387096775,Judge Dredd
174,Jury Duty (1995),Comedy,10,2.7,Jury Duty
175,Kids (1995),Drama,20,3.975,Kids
176,Living in Oblivion (1995),Comedy,13,4.3076923076923075,Living in Oblivion
177,Lord of Illusions (1995),Horror,8,2.75,Lord of Illusions
178,Love & Human Remains (1993),Comedy Drama,1,1.0,Love & Human Remains
179,Mad Love (1995),Drama Romance,2,1.5,Mad Love
180,Mallrats (1995),Comedy Romance,36,3.4027777777777777,Mallrats
181,Mighty Morphin Power Rangers: The Movie (1995),Action Children,17,2.264705882352941,Mighty Morphin Power Rangers: The Movie
183,Mute Witness (1994),Comedy Horror Thriller,2,3.5,Mute Witness
184,Nadja (1994),Drama,2,3.5,Nadja
185,"Net, The (1995)",Action Crime Thriller,112,3.0401785714285716,"Net, The"
186,Nine Months (1995),Comedy Romance,48,2.8229166666666665,Nine Months
187,Party Girl (1995),Comedy,4,4.125,Party Girl
188,"Prophecy, The (1995)",Fantasy Horror Mystery,12,3.4583333333333335,"Prophecy, The"
189,Reckless (1995),Comedy Fantasy,1,3.0,Reckless
190,Safe (1995),Thriller,5,2.8,Safe
191,"Scarlet Letter, The (1995)",Drama Romance,6,2.4166666666666665,"Scarlet Letter, The"
193,Showgirls (1995),Drama,35,2.4714285714285715,Showgirls
194,Smoke (1995),Comedy Drama,18,3.6666666666666665,Smoke
195,Something to Talk About (1995),Comedy Drama Romance,10,3.1,Something to Talk About
196,Species (1995),Horror Sci-Fi,45,2.6666666666666665,Species
198,Strange Days (1995),Action Crime Drama Mystery Sci-Fi Thriller,28,3.25,Strange Days
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama Musical Romance,4,4.125,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)"
201,Three Wishes (1995),Drama Fantasy,1,3.0,Three Wishes
202,Total Eclipse (1995),Drama Romance,1,3.0,Total Eclipse
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,22,3.4318181818181817,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,Under Siege 2: Dark Territory (1995),Action,30,2.716666666666667,Under Siege 2: Dark Territory
205,Unstrung Heroes (1995),Comedy Drama,9,3.1666666666666665,Unstrung Heroes
206,Unzipped (1995),Documentary,2,3.0,Unzipped
207,"Walk in the Clouds, A (1995)",Drama Romance,21,3.4285714285714284,"Walk in the Clouds, A"
208,Waterworld (1995),Action Adventure Sci-Fi,115,2.9130434782608696,Waterworld
209,White Man's Burden (1995),Drama,3,3.1666666666666665,White Man's Burden
210,Wild Bill (1995),Western,4,3.0,Wild Bill
211,"Browning Version, The (1994)",Drama,2,3.5,"Browning Version, The"
212,Bushwhacked (1995),Adventure Comedy Crime Mystery,3,3.0,Bushwhacked
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,6,3.8333333333333335,Burnt by the Sun (Utomlyonnye solntsem)
214,Before the Rain (Pred dozhdot) (1994),Drama War,2,4.0,Before the Rain (Pred dozhdot)
215,Before Sunrise (1995),Drama Romance,24,4.041666666666667,Before Sunrise
216,Billy Madison (1995),Comedy,49,3.326530612244898,Billy Madison
217,"Babysitter, The (1995)",Drama Thriller,6,2.3333333333333335,"Babysitter, The"
218,Boys on the Side (1995),Comedy Drama,14,3.4285714285714284,Boys on the Side
219,"Cure, The (1995)",Drama,1,3.0,"Cure, The"
220,Castle Freak (1995),Horror,1,3.0,Castle Freak
222,Circle of Friends (1995),Drama Romance,16,3.75,Circle of Friends
223,Clerks (1994),Comedy,104,3.855769230769231,Clerks
224,Don Juan DeMarco (1995),Comedy Drama Romance,40,3.6125,Don Juan DeMarco
225,Disclosure (1994),Drama Thriller,52,3.5384615384615383,Disclosure
227,Drop Zone (1994),Action Thriller,22,2.8636363636363638,Drop Zone
228,Destiny Turns on the Radio (1995),Comedy,3,2.3333333333333335,Destiny Turns on the Radio
229,Death and the Maiden (1994),Drama Thriller,7,3.4285714285714284,Death and the Maiden
230,Dolores Claiborne (1995),Drama Thriller,24,3.3958333333333335,Dolores Claiborne
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure Comedy,133,3.0601503759398496,Dumb & Dumber (Dumb and Dumber)
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy Drama Romance,14,3.892857142857143,Eat Drink Man Woman (Yin shi nan nu)
233,Exotica (1994),Drama,12,3.5,Exotica
234,Exit to Eden (1994),Comedy,17,2.588235294117647,Exit to Eden
235,Ed Wood (1994),Comedy Drama,70,3.6785714285714284,Ed Wood
236,French Kiss (1995),Action Comedy Romance,45,3.477777777777778,French Kiss
237,Forget Paris (1995),Comedy Romance,22,3.340909090909091,Forget Paris
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure Children,2,4.0,Far From Home: The Adventures of Yellow Dog
239,"Goofy Movie, A (1995)",Animation Children Comedy Romance,17,3.0,"Goofy Movie, A"
240,Hideaway (1995),Thriller,4,2.375,Hideaway
241,Fluke (1995),Children Drama,1,4.0,Fluke
242,Farinelli: il castrato (1994),Drama Musical,5,3.6,Farinelli: il castrato
243,Gordy (1995),Children Comedy Fantasy,1,3.0,Gordy
246,Hoop Dreams (1994),Documentary,29,4.293103448275862,Hoop Dreams
247,Heavenly Creatures (1994),Crime Drama,21,3.9285714285714284,Heavenly Creatures
248,Houseguest (1994),Comedy,17,3.176470588235294,Houseguest
249,Immortal Beloved (1994),Drama Romance,18,3.7222222222222223,Immortal Beloved
250,Heavyweights (Heavy Weights) (1995),Children Comedy,6,2.5,Heavyweights (Heavy Weights)
251,"Hunted, The (1995)",Action,3,3.0,"Hunted, The"
252,I.Q. (1994),Comedy Romance,43,3.453488372093023,I.Q.
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama Horror,109,3.458715596330275,Interview with the Vampire: The Vampire Chronicles
254,Jefferson in Paris (1995),Drama,1,3.0,Jefferson in Paris
255,"Jerky Boys, The (1995)",Comedy,7,2.0714285714285716,"Jerky Boys, The"
256,Junior (1994),Comedy Sci-Fi,35,2.8285714285714287,Junior
257,Just Cause (1995),Mystery Thriller,14,3.5,Just Cause
258,"Kid in King Arthur's Court, A (1995)",Adventure Children Comedy Fantasy Romance,10,2.6,"Kid in King Arthur's Court, A"
259,Kiss of Death (1995),Crime Drama Thriller,5,3.2,Kiss of Death
260,Star Wars: Episode IV - A New Hope (1977),Action Adventure Sci-Fi,251,4.231075697211155,Star Wars: Episode IV - A New Hope
261,Little Women (1994),Drama,42,3.880952380952381,Little Women
262,"Little Princess, A (1995)",Children Drama,21,3.9047619047619047,"Little Princess, A"
263,Ladybird Ladybird (1994),Drama,1,4.0,Ladybird Ladybird
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama Fantasy Romance,33,3.9393939393939394,Like Water for Chocolate (Como agua para chocolate)
266,Legends of the Fall (1994),Drama Romance War Western,68,3.3970588235294117,Legends of the Fall
267,Major Payne (1995),Comedy,17,2.9411764705882355,Major Payne
269,My Crazy Life (Mi vida loca) (1993),Drama,2,3.0,My Crazy Life (Mi vida loca)
270,Love Affair (1994),Drama Romance,5,3.4,Love Affair
271,Losing Isaiah (1995),Drama,4,3.5,Losing Isaiah
272,"Madness of King George, The (1994)",Comedy Drama,31,3.7580645161290325,"Madness of King George, The"
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama Horror Sci-Fi,28,2.9464285714285716,Mary Shelley's Frankenstein (Frankenstein)
274,Man of the House (1995),Comedy,7,2.9285714285714284,Man of the House
275,Mixed Nuts (1994),Comedy,6,2.0,Mixed Nuts
276,Milk Money (1994),Comedy Romance,22,3.25,Milk Money
277,Miracle on 34th Street (1994),Drama,38,3.223684210526316,Miracle on 34th Street
278,Miami Rhapsody (1995),Comedy,2,1.5,Miami Rhapsody
279,My Family (1995),Drama,2,3.0,My Family
280,Murder in the First (1995),Drama Thriller,13,4.076923076923077,Murder in the First
281,Nobody's Fool (1994),Comedy Drama Romance,14,3.7857142857142856,Nobody's Fool
282,Nell (1994),Drama,40,3.3375,Nell
283,New Jersey Drive (1995),Crime Drama,3,3.6666666666666665,New Jersey Drive
284,New York Cop (Nyû Yôku no koppu) (1993),Action Crime,1,4.5,New York Cop (Nyû Yôku no koppu)
285,Beyond Bedlam (1993),Drama Horror,1,4.0,Beyond Bedlam
287,Nina Takes a Lover (1994),Comedy Romance,1,3.0,Nina Takes a Lover
288,Natural Born Killers (1994),Action Crime Thriller,92,3.233695652173913,Natural Born Killers
289,Only You (1994),Comedy Romance,8,3.5625,Only You
290,Once Were Warriors (1994),Crime Drama,14,4.035714285714286,Once Were Warriors
291,Poison Ivy II (1996),Drama Thriller,3,2.3333333333333335,Poison Ivy II
292,Outbreak (1995),Action Drama Sci-Fi Thriller,101,3.4257425742574257,Outbreak
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action Crime Drama Thriller,133,4.018796992481203,Léon: The Professional (a.k.a. The Professional) (Léon)
294,"Perez Family, The (1995)",Comedy Romance,2,3.0,"Perez Family, The"
295,"Pyromaniac's Love Story, A (1995)",Comedy Romance,1,3.0,"Pyromaniac's Love Story, A"
296,Pulp Fiction (1994),Comedy Crime Drama Thriller,307,4.197068403908795,Pulp Fiction
298,Pushing Hands (Tui shou) (1992),Drama,1,2.0,Pushing Hands (Tui shou)
299,Priest (1994),Drama,4,4.0,Priest
300,Quiz Show (1994),Drama,81,3.5185185185185186,Quiz Show
301,Picture Bride (Bijo photo) (1994),Drama Romance,1,4.0,Picture Bride (Bijo photo)
302,"Queen Margot (Reine Margot, La) (1994)",Drama Romance,5,3.2,"Queen Margot (Reine Margot, La)"
303,"Quick and the Dead, The (1995)",Action Thriller Western,32,2.953125,"Quick and the Dead, The"
304,Roommates (1995),Comedy Drama,3,3.6666666666666665,Roommates
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,9,2.8333333333333335,Ready to Wear (Pret-A-Porter)
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,16,4.21875,Three Colors: Red (Trois couleurs: Rouge)
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,24,3.8958333333333335,Three Colors: Blue (Trois couleurs: Bleu)
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy Drama,20,4.025,Three Colors: White (Trzy kolory: Bialy)
310,Rent-a-Kid (1995),Comedy,1,3.0,Rent-a-Kid
311,Relative Fear (1994),Horror Thriller,1,3.0,Relative Fear
312,Stuart Saves His Family (1995),Comedy,9,1.4444444444444444,Stuart Saves His Family
313,"Swan Princess, The (1994)",Animation Children,3,3.3333333333333335,"Swan Princess, The"
314,"Secret of Roan Inish, The (1994)",Children Drama Fantasy Mystery,16,3.75,"Secret of Roan Inish, The"
315,"Specialist, The (1994)",Action Drama Thriller,38,3.0789473684210527,"Specialist, The"
316,Stargate (1994),Action Adventure Sci-Fi,140,3.375,Stargate
317,"Santa Clause, The (1994)",Comedy Drama Fantasy,81,3.2037037037037037,"Santa Clause, The"
318,"Shawshank Redemption, The (1994)",Crime Drama,317,4.429022082018927,"Shawshank Redemption, The"
319,Shallow Grave (1994),Comedy Drama Thriller,20,3.6,Shallow Grave
320,Suture (1993),Film-Noir Thriller,1,3.0,Suture
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,2,4.0,Strawberry and Chocolate (Fresa y chocolate)
322,Swimming with Sharks (1995),Comedy Drama,10,3.55,Swimming with Sharks
324,"Sum of Us, The (1994)",Comedy Drama,1,4.0,"Sum of Us, The"
325,National Lampoon's Senior Trip (1995),Comedy,7,2.5,National Lampoon's Senior Trip
326,To Live (Huozhe) (1994),Drama,3,4.0,To Live (Huozhe)
327,Tank Girl (1995),Action Comedy Sci-Fi,34,2.823529411764706,Tank Girl
328,Tales from the Crypt Presents: Demon Knight (1995),Horror Thriller,10,3.15,Tales from the Crypt Presents: Demon Knight
329,Star Trek: Generations (1994),Adventure Drama Sci-Fi,108,3.3935185185185186,Star Trek: Generations
330,Tales from the Hood (1995),Action Crime Horror,6,3.0,Tales from the Hood
331,Tom & Viv (1994),Drama,2,3.0,Tom & Viv
332,Village of the Damned (1995),Horror Sci-Fi,12,2.8333333333333335,Village of the Damned
333,Tommy Boy (1995),Comedy,50,3.78,Tommy Boy
334,Vanya on 42nd Street (1994),Drama,5,4.2,Vanya on 42nd Street
335,Underneath (1995),Mystery Thriller,2,3.5,Underneath
336,"Walking Dead, The (1995)",Drama War,1,3.0,"Walking Dead, The"
337,What's Eating Gilbert Grape (1993),Drama,77,3.7662337662337664,What's Eating Gilbert Grape
338,Virtuosity (1995),Action Sci-Fi Thriller,19,2.8421052631578947,Virtuosity
339,While You Were Sleeping (1995),Comedy Romance,98,3.4693877551020407,While You Were Sleeping
340,"War, The (1994)",Adventure Drama War,5,3.4,"War, The"
341,Double Happiness (1994),Drama,2,4.0,Double Happiness
342,Muriel's Wedding (1994),Comedy,33,3.272727272727273,Muriel's Wedding
343,"Baby-Sitters Club, The (1995)",Children,5,2.9,"Baby-Sitters Club, The"
344,Ace Ventura: Pet Detective (1994),Comedy,161,3.040372670807453,Ace Ventura: Pet Detective
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy Drama,36,3.5972222222222223,"Adventures of Priscilla, Queen of the Desert, The"
346,Backbeat (1993),Drama Musical,6,3.5,Backbeat
347,Bitter Moon (1992),Drama Film-Noir Romance,6,3.5,Bitter Moon
348,Bullets Over Broadway (1994),Comedy,30,3.5833333333333335,Bullets Over Broadway
349,Clear and Present Danger (1994),Action Crime Drama Thriller,110,3.6045454545454545,Clear and Present Danger
350,"Client, The (1994)",Drama Mystery Thriller,57,3.3859649122807016,"Client, The"
351,"Corrina, Corrina (1994)",Comedy Drama Romance,17,3.176470588235294,"Corrina, Corrina"
352,Crooklyn (1994),Comedy Drama,2,2.5,Crooklyn
353,"Crow, The (1994)",Action Crime Fantasy Thriller,64,3.609375,"Crow, The"
354,Cobb (1994),Drama,6,3.3333333333333335,Cobb
355,"Flintstones, The (1994)",Children Comedy Fantasy,42,2.357142857142857,"Flintstones, The"
356,Forrest Gump (1994),Comedy Drama Romance War,329,4.164133738601824,Forrest Gump
357,Four Weddings and a Funeral (1994),Comedy Romance,103,3.5194174757281553,Four Weddings and a Funeral
358,Higher Learning (1995),Drama,9,2.6666666666666665,Higher Learning
359,I Like It Like That (1994),Comedy Drama Romance,1,3.0,I Like It Like That
360,I Love Trouble (1994),Action Comedy,8,2.6875,I Love Trouble
361,It Could Happen to You (1994),Comedy Drama Romance,17,3.0588235294117645,It Could Happen to You
362,"Jungle Book, The (1994)",Adventure Children Romance,34,3.5294117647058822,"Jungle Book, The"
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,2,4.0,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)"
364,"Lion King, The (1994)",Adventure Animation Children Drama Musical IMAX,172,3.941860465116279,"Lion King, The"
365,Little Buddha (1993),Drama,4,3.25,Little Buddha
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama Horror Mystery Thriller,12,2.9166666666666665,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)"
367,"Mask, The (1994)",Action Comedy Crime Fantasy,157,3.1847133757961785,"Mask, The"
368,Maverick (1994),Adventure Comedy Western,74,3.5,Maverick
369,Mrs. Parker and the Vicious Circle (1994),Drama,2,4.0,Mrs. Parker and the Vicious Circle
